320683198512093001,马勇涌,男,演员,云南省迪庆藏族自治州维西傈僳族自治县叶枝镇1042号602室,11451411451
321282198110275051,田所浩二,男,演员,山西省大同市大同县湖东708号308室,11451411452
510283198111268021,财讯坤,男,歌手,海南省省直辖县级行政区划白沙黎族自治县打安镇548号201室,15453424856
230227198601300212,晓黑梓,女,学生,广东省肇庆市四会市下茆镇225号202室,14155418488
410901198811275043,李易封,男,失业,青海省海西蒙古族藏族自治州都兰县沟里乡498号608室,18161515366
320705198208021051,许磊,男,农民,新疆维吾尔自治区昌吉回族自治州阜康市滋泥泉子镇961号305室,15645321221
440111198601063054,杨宇,女,工人,黑龙江省佳木斯市桦川县新城镇1206号504室,18563418354
332529198509040015,王必忠,男,工人,黑龙江省大兴安岭地区塔河县依西肯乡523号703室,18798453546
440102198609040049,王正中,男,农民,江西省吉安市青原区东固畲族少数民族乡616号701室,18463436523
370882198903184042,杨玉霞,女,个体经商户,宁夏回族自治区银川市西夏区北京西路街道244号800室,18567464152
320283198612130046,周文君,女,公司员工,山西省阳泉市平定县岔口乡108号600室,11568698459
370911199407226044,许杨晶,女,公司负责人,河北省邯郸市广平县胜营镇638号202室,15245161511
320106198410290341,王威,男,公司负责人,海南省海口市琼山区旧州镇796号407室,18654864415
330224197510040137,张祁,男,经理,北京市市辖区海淀区四季青地区1388号505室,15646846515
